state,year, population 
CT,1998," 3,272,563 "
DE,1998," 744,066 "
DC,1998," 521,426 "
FL,1998," 14,908,230 "
GA,1998," 7,636,522 "
HI,1998," 1,190,472 "
ID,1998," 1,230,923 "
IL,1998," 12,069,774 "
IN,1998," 5,907,617 "
IA,1998," 2,861,025 "
KS,1998," 2,638,667 "
KY,1998," 3,934,310 "
LA,1998," 4,362,758 "
ME,1998," 1,247,554 "
MD,1998," 5,130,072 "
MA,1998," 6,144,407 "
MI,1998," 9,820,231 "
MN,1998," 4,726,411 "
MS,1998," 2,751,335 "
MO,1998," 5,437,562 "
MT,1998," 879,533 "
NE,1998," 1,660,772 "
NV,1998," 1,743,772 "
NH,1998," 1,185,823 "
NJ,1998," 8,095,542 "
NM,1998," 1,733,535 "
NY,1998," 18,159,175 "
NC,1998," 7,545,828 "
ND,1998," 637,808 "
OH,1998," 11,237,752 "
OK,1998," 3,339,478 "
OR,1998," 3,282,055 "
PA,1998," 12,002,329 "
RI,1998," 987,704 "
SC,1998," 3,839,578 "
SD,1998," 730,789 "
TN,1998," 5,432,679 "
TX,1998," 19,712,389 "
UT,1998," 2,100,562 "
VT,1998," 590,579 "
VA,1998," 6,789,225 "
WA,1998," 5,687,832 "
WV,1998," 1,811,688 "
WI,1998," 5,222,124 "
WY,1998," 480,045 "
AL,1997," 4,320,281 "
AK,1997," 608,846 "
AZ,1997," 4,552,207 "
AR,1997," 2,524,007 "
CA,1997," 32,217,708 "
CO,1997," 3,891,293 "
CT,1997," 3,268,514 "
DE,1997," 735,024 "
DC,1997," 528,752 "
FL,1997," 14,683,350 "
GA,1997," 7,486,094 "
HI,1997," 1,189,322 "
ID,1997," 1,210,638 "
IL,1997," 12,011,509 "
IN,1997," 5,872,370 "
IA,1997," 2,854,396 "
KS,1997," 2,616,339 "
KY,1997," 3,907,816 "
LA,1997," 4,351,390 "
ME,1997," 1,245,215 "
MD,1997," 5,092,914 "
MA,1997," 6,115,476 "
MI,1997," 9,785,450 "
MN,1997," 4,687,726 "
MS,1997," 2,731,826 "
MO,1997," 5,407,113 "
MT,1997," 878,706 "
NE,1997," 1,656,042 "
NV,1997," 1,675,581 "
NH,1997," 1,173,239 "
NJ,1997," 8,054,178 "
NM,1997," 1,722,939 "
NY,1997," 18,143,184 "
NC,1997," 7,428,672 "
ND,1997," 640,945 "
OH,1997," 11,212,498 "
OK,1997," 3,314,259 "
OR,1997," 3,243,254 "
PA,1997," 12,015,888 "
RI,1997," 986,966 "
SC,1997," 3,790,066 "
SD,1997," 730,855 "
TN,1997," 5,378,433 "
TX,1997," 19,355,427 "
UT,1997," 2,065,397 "
VT,1997," 588,665 "
VA,1997," 6,732,878 "
WA,1997," 5,604,105 "
WV,1997," 1,815,588 "
WI,1997," 5,200,235 "
WY,1997," 480,031 "
AL,1996," 4,290,403 "
AK,1996," 604,918 "
AZ,1996," 4,432,308 "
AR,1996," 2,504,858 "
CA,1996," 31,780,829 "
CO,1996," 3,812,716 "
CT,1996," 3,267,030 "
DE,1996," 727,090 "
DC,1996," 538,273 "
FL,1996," 14,426,911 "
GA,1996," 7,332,225 "
HI,1996," 1,184,434 "
ID,1996," 1,187,706 "
IL,1996," 11,953,003 "
IN,1996," 5,834,908 "
IA,1996," 2,848,473 "
KS,1996," 2,598,266 "
KY,1996," 3,881,051 "
LA,1996," 4,338,763 "
ME,1996," 1,241,436 "
MD,1996," 5,057,142 "
MA,1996," 6,085,393 "
MI,1996," 9,739,184 "
MN,1996," 4,647,723 "
MS,1996," 2,709,925 "
MO,1996," 5,367,888 "
MT,1996," 876,656 "
NE,1996," 1,647,657 "
NV,1996," 1,596,476 "
NH,1996," 1,160,768 "
NJ,1996," 8,009,624 "
NM,1996," 1,706,151 "
NY,1996," 18,143,805 "
NC,1996," 7,307,658 "
ND,1996," 642,858 "
OH,1996," 11,187,032 "
OK,1996," 3,289,634 "
OR,1996," 3,195,087 "
PA,1996," 12,038,008 "
RI,1996," 987,858 "
SC,1996," 3,738,974 "
SD,1996," 730,699 "
TN,1996," 5,313,576 "
TX,1996," 19,006,240 "
UT,1996," 2,022,253 "
VT,1996," 586,352 "
VA,1996," 6,665,491 "
WA,1996," 5,509,963 "
WV,1996," 1,818,983 "
WI,1996," 5,173,828 "
WY,1996," 480,085 "
AL,1995," 4,262,731 "
AK,1995," 601,345 "
AZ,1995," 4,306,908 "
AR,1995," 2,480,121 "
CA,1995," 31,493,525 "
CO,1995," 3,738,061 "
CT,1995," 3,265,293 "
DE,1995," 718,265 "
DC,1995," 551,273 "
FL,1995," 14,185,403 "
GA,1995," 7,188,538 "
HI,1995," 1,180,490 "
ID,1995," 1,165,000 "
IL,1995," 11,884,935 "
IN,1995," 5,791,819 "
IA,1995," 2,840,860 "
KS,1995," 2,586,942 "
KY,1995," 3,855,248 "
LA,1995," 4,327,978 "
ME,1995," 1,237,438 "
MD,1995," 5,023,650 "
MA,1995," 6,062,335 "
MI,1995," 9,659,871 "
MN,1995," 4,605,445 "
MS,1995," 2,690,788 "
MO,1995," 5,324,610 "
MT,1995," 868,522 "
NE,1995," 1,635,142 "
NV,1995," 1,525,777 "
NH,1995," 1,145,604 "
NJ,1995," 7,965,523 "
NM,1995," 1,682,417 "
NY,1995," 18,150,928 "
NC,1995," 7,185,403 "
ND,1995," 641,548 "
OH,1995," 11,155,493 "
OK,1995," 3,265,547 "
OR,1995," 3,141,421 "
PA,1995," 12,044,780 "
RI,1995," 989,203 "
SC,1995," 3,699,943 "
SD,1995," 728,251 "
TN,1995," 5,241,168 "
TX,1995," 18,679,706 "
UT,1995," 1,976,774 "
VT,1995," 582,827 "
VA,1995," 6,601,392 "
WA,1995," 5,431,024 "
WV,1995," 1,820,560 "
WI,1995," 5,137,004 "
WY,1995," 478,447 "
AL,1994," 4,232,965 "
AK,1994," 600,624 "
AZ,1994," 4,147,561 "
AR,1994," 2,450,605 "
CA,1994," 31,317,179 "
CO,1994," 3,653,910 "
CT,1994," 3,268,346 "
DE,1994," 708,416 "
DC,1994," 564,982 "
FL,1994," 13,961,798 "
GA,1994," 7,045,900 "
HI,1994," 1,173,903 "
ID,1994," 1,135,459 "
IL,1994," 11,804,986 "
IN,1994," 5,745,626 "
IA,1994," 2,829,422 "
KS,1994," 2,569,118 "
KY,1994," 3,823,215 "
LA,1994," 4,306,500 "
ME,1994," 1,237,687 "
MD,1994," 4,985,411 "
MA,1994," 6,031,352 "
MI,1994," 9,584,481 "
MN,1994," 4,566,028 "
MS,1994," 2,663,450 "
MO,1994," 5,281,206 "
MT,1994," 854,923 "
NE,1994," 1,621,551 "
NV,1994," 1,456,388 "
NH,1994," 1,133,054 "
NJ,1994," 7,918,796 "
NM,1994," 1,653,329 "
NY,1994," 18,156,652 "
NC,1994," 7,060,959 "
ND,1994," 639,762 "
OH,1994," 11,111,451 "
OK,1994," 3,246,119 "
OR,1994," 3,087,142 "
PA,1994," 12,042,545 "
RI,1994," 993,412 "
SC,1994," 3,666,456 "
SD,1994," 723,038 "
TN,1994," 5,163,016 "
TX,1994," 18,338,319 "
UT,1994," 1,930,436 "
VT,1994," 578,900 "
VA,1994," 6,536,771 "
WA,1994," 5,334,896 "
WV,1994," 1,818,490 "
WI,1994," 5,095,504 "
WY,1994," 474,982 "
AL,1993," 4,193,114 "
AK,1993," 596,993 "
AZ,1993," 3,993,390 "
AR,1993," 2,423,743 "
CA,1993," 31,147,208 "
CO,1993," 3,560,884 "
CT,1993," 3,272,325 "
DE,1993," 699,475 "
DC,1993," 576,358 "
FL,1993," 13,713,593 "
GA,1993," 6,894,092 "
HI,1993," 1,161,508 "
ID,1993," 1,101,204 "
IL,1993," 11,725,984 "
IN,1993," 5,701,965 "
IA,1993," 2,820,525 "
KS,1993," 2,547,605 "
KY,1993," 3,792,288 "
LA,1993," 4,284,749 "
ME,1993," 1,238,256 "
MD,1993," 4,942,504 "
MA,1993," 6,010,884 "
MI,1993," 9,529,240 "
MN,1993," 4,521,709 "
MS,1993," 2,635,574 "
MO,1993," 5,237,757 "
MT,1993," 839,876 "
NE,1993," 1,612,149 "
NV,1993," 1,380,197 "
NH,1993," 1,122,191 "
NJ,1993," 7,874,891 "
NM,1993," 1,614,937 "
NY,1993," 18,140,894 "
NC,1993," 6,947,412 "
ND,1993," 637,229 "
OH,1993," 11,070,385 "
OK,1993," 3,228,829 "
OR,1993," 3,034,490 "
PA,1993," 12,022,128 "
RI,1993," 997,852 "
SC,1993," 3,634,507 "
SD,1993," 716,258 "
TN,1993," 5,085,666 "
TX,1993," 17,996,764 "
UT,1993," 1,875,993 "
VT,1993," 574,004 "
VA,1993," 6,464,795 "
WA,1993," 5,247,704 "
WV,1993," 1,816,179 "
WI,1993," 5,055,318 "
WY,1993," 469,033 "
AL,1992," 4,139,269 "
AK,1992," 587,073 "
AZ,1992," 3,867,333 "
AR,1992," 2,394,098 "
CA,1992," 30,875,920 "
CO,1992," 3,459,995 "
CT,1992," 3,274,997 "
DE,1992," 690,158 "
DC,1992," 584,183 "
FL,1992," 13,504,775 "
GA,1992," 6,759,474 "
HI,1992," 1,149,926 "
ID,1992," 1,066,490 "
IL,1992," 11,635,197 "
IN,1992," 5,648,649 "
IA,1992," 2,806,923 "
KS,1992," 2,526,042 "
KY,1992," 3,756,358 "
LA,1992," 4,270,849 "
ME,1992," 1,235,748 "
MD,1992," 4,902,545 "
MA,1992," 5,993,474 "
MI,1992," 9,470,323 "
MN,1992," 4,471,503 "
MS,1992," 2,610,193 "
MO,1992," 5,193,686 "
MT,1992," 822,436 "
NE,1992," 1,602,406 "
NV,1992," 1,330,694 "
NH,1992," 1,112,766 "
NJ,1992," 7,827,770 "
NM,1992," 1,580,750 "
NY,1992," 18,082,032 "
NC,1992," 6,831,850 "
ND,1992," 635,427 "
OH,1992," 11,007,609 "
OK,1992," 3,204,174 "
OR,1992," 2,973,934 "
PA,1992," 11,980,819 "
RI,1992," 1,000,571 "
SC,1992," 3,600,576 "
SD,1992," 708,698 "
TN,1992," 5,013,999 "
TX,1992," 17,650,479 "
UT,1992," 1,821,498 "
VT,1992," 570,115 "
VA,1992," 6,383,315 "
WA,1992," 5,139,011 "
WV,1992," 1,805,462 "
WI,1992," 5,004,636 "
WY,1992," 463,491 "
AL,1991," 4,091,025 "
AK,1991," 569,273 "
AZ,1991," 3,762,394 "
AR,1991," 2,370,666 "
CA,1991," 30,414,114 "
CO,1991," 3,367,567 "
CT,1991," 3,288,640 "
DE,1991," 680,495 "
DC,1991," 593,239 "
FL,1991," 13,289,497 "
GA,1991," 6,621,279 "
HI,1991," 1,131,412 "
ID,1991," 1,038,915 "
IL,1991," 11,535,973 "
IN,1991," 5,602,062 "
IA,1991," 2,791,227 "
KS,1991," 2,495,209 "
KY,1991," 3,714,686 "
LA,1991," 4,240,950 "
ME,1991," 1,235,439 "
MD,1991," 4,856,176 "
MA,1991," 5,998,652 "
MI,1991," 9,395,022 "
MN,1991," 4,427,429 "
MS,1991," 2,591,230 "
MO,1991," 5,157,770 "
MT,1991," 807,837 "
NE,1991," 1,590,805 "
NV,1991," 1,285,046 "
NH,1991," 1,107,055 "
NJ,1991," 7,784,269 "
NM,1991," 1,547,115 "
NY,1991," 18,029,532 "
NC,1991," 6,748,135 "
ND,1991," 634,199 "
